Date,Narration,Withdrawal Amt,Deposit Amt,Closing Balance
11/11/2025,UPI/PYTM0002/Zomato Food,486.96,,44513.04
11/11/2025,BESCOM/ELECTRICITY BILL/Account,1157.14,,43355.9
12/11/2025,SALARY/BRAINYBEAM TECH/NEFT,,28347.76,71703.66
12/11/2025,AMAZON PRIME/SUBSCRIPTION,299.0,,71404.66
13/11/2025,POS/BPCL PETROL/Chandkheda,1465.32,,69939.34
13/11/2025,ATM/CASH WITHDRAWAL/SBI ATM,2079.61,,67859.73
14/11/2025,SALARY/BRAINYBEAM TECH/NEFT,,29678.08,97537.81
14/11/2025,UPI/APOLLO PHARMACY/Medicine,1142.83,,96394.98
14/11/2025,UPI/HDFC0001/Swiggy Order,536.64,,95858.34
15/11/2025,AMAZON PRIME/SUBSCRIPTION,299.0,,95559.34
15/11/2025,POS/DMART/Ahmedabad,1532.07,,94027.27
15/11/2025,UPI/BLINKIT/Quick Commerce,436.88,,93590.39
16/11/2025,UPI/FLIPKART/Payment,2473.39,,91117.0
16/11/2025,UPI/ZEPTO/Grocery Delivery,702.61,,90414.39
16/11/2025,POS/DOMINOS PIZZA/MG Road,751.35,,89663.04
16/11/2025,SALARY/BRAINYBEAM TECH/NEFT,,28499.3,118162.34
16/11/2025,NETFLIX/SUBSCRIPTION/Monthly,649.0,,117513.34
17/11/2025,POS/RELIANCE FRESH/Chandkheda,1208.29,,116305.05
17/11/2025,POS/CAFE COFFEE DAY/CG Road,186.42,,116118.63
17/11/2025,UPI/RAPIDO/Auto Ride,101.85,,116016.78
17/11/2025,UPI/AMAZON PAY/Amazon.in,7740.26,,108276.52
18/11/2025,NETFLIX/SUBSCRIPTION/Monthly,649.0,,107627.52
18/11/2025,POS/RELIANCE FRESH/Chandkheda,627.72,,106999.8
19/11/2025,POS/BPCL PETROL/Chandkheda,2340.35,,104659.45
19/11/2025,POS/CAFE COFFEE DAY/CG Road,265.28,,104394.17
19/11/2025,UPI/UBER INDIA/Ride,224.22,,104169.95
19/11/2025,BESCOM/ELECTRICITY BILL/Account,1061.44,,103108.51
20/11/2025,JIO/BROADBAND/Monthly,995.86,,102112.65
20/11/2025,UPI/PHONEPE/Send Money,1488.27,,100624.38
20/11/2025,UPI/BIGBASKET/Grocery,2454.27,,98170.11
20/11/2025,UPI/PHONEPE/KFC Ahmedabad,334.97,,97835.14
20/11/2025,POS/DOMINOS PIZZA/MG Road,792.78,,97042.36
20/11/2025,UPI/HDFC0001/Swiggy Order,349.0,,-17858.67
21/11/2025,JIO/BROADBAND/Monthly,718.86,,96323.5
21/11/2025,UPI/GPAY/Transfer,8887.31,,87436.19
21/11/2025,UPI/BIGBASKET/Grocery,1067.78,,86368.41
21/11/2025,BAJAJ FINANCE/EMI/Loan,3200.0,,83168.41
21/11/2025,POS/NETMEDS/Online Pharmacy,428.58,,82739.83
22/11/2025,BESCOM/ELECTRICITY BILL/Account,1991.98,,80747.85
22/11/2025,SALARY/BRAINYBEAM TECH/NEFT,,29050.97,109798.82
22/11/2025,NEFT/TRANSFER/Personal,,4570.6,114369.42
23/11/2025,SPOTIFY/PREMIUM/Monthly,119.0,,114250.42
23/11/2025,UPI/MEESHO/Order Payment,759.48,,113490.94
23/11/2025,UPI/AMAZON PAY/Amazon.in,6874.3,,106616.64
23/11/2025,POS/MYNTRA FASHION/Online,1211.67,,105404.97
23/11/2025,UPI/UBER INDIA/Ride,293.86,,105111.11
23/11/2025,AMAZON PRIME/SUBSCRIPTION,299.0,,104812.11
23/11/2025,UPI/UNKNOWN MERCHANT/QR Pay,15000.0,,-57858.67
24/11/2025,NETFLIX/SUBSCRIPTION/Monthly,649.0,,104163.11
24/11/2025,POS/NETMEDS/Online Pharmacy,641.01,,103522.1
24/11/2025,UPI/PHONEPE/Send Money,4373.51,,99148.59
24/11/2025,UPI/HDFC0001/Swiggy Order,499.73,,98648.86
24/11/2025,POS/MYNTRA FASHION/Online,2639.62,,96009.24
25/11/2025,JIO/BROADBAND/Monthly,929.58,,95079.66
25/11/2025,UPI/BLINKIT/Quick Commerce,444.82,,94634.84
25/11/2025,AMAZON PRIME/SUBSCRIPTION,299.0,,94335.84
25/11/2025,UPI/HDFC0001/Swiggy Order,628.29,,93707.55
25/11/2025,AIRTEL/POSTPAID BILL/Mobile,787.76,,92919.79
25/11/2025,UPI/OLA/Cab Booking,186.46,,92733.33
26/11/2025,UPI/PAYTM/DTH Recharge,326.25,,92407.08
26/11/2025,LIC/PREMIUM/Policy,4500.0,,87907.08
27/11/2025,POS/RELIANCE FRESH/Chandkheda,1467.52,,86439.56
27/11/2025,SALARY/BRAINYBEAM TECH/NEFT,,31814.0,118253.56
27/11/2025,ZERODHA/SIP/Mutual Fund,4755.48,,113498.08
28/11/2025,UPI/BIGBASKET/Grocery,1674.93,,111823.15
28/11/2025,POS/MYNTRA FASHION/Online,3307.57,,108515.58
28/11/2025,UPI/PAYTM/DTH Recharge,235.92,,108279.66
28/11/2025,BESCOM/ELECTRICITY BILL/Account,2204.82,,106074.84
28/11/2025,UPI/AMAZON PAY/Amazon.in,1044.19,,105030.65
28/11/2025,BAJAJ FINANCE/EMI/Loan,3200.0,,101830.65
29/11/2025,UPI/MEESHO/Order Payment,340.23,,101490.42
29/11/2025,HDFC ERGO/HEALTH INSURANCE/Premium,2500.0,,98990.42
29/11/2025,UPI/UBER INDIA/Ride,151.57,,98838.85
29/11/2025,ATM/CASH WITHDRAWAL/SBI ATM,3269.41,,95569.44
29/11/2025,POS/BPCL PETROL/Chandkheda,2857.83,,92711.61
29/11/2025,IRCTC/TICKET BOOKING/PNR,2125.43,,90586.18
30/11/2025,POS/RELIANCE FRESH/Chandkheda,1013.34,,89572.84
30/11/2025,ZERODHA/SIP/Mutual Fund,3354.46,,86218.38
30/11/2025,BESCOM/ELECTRICITY BILL/Account,1159.52,,85058.86
30/11/2025,UPI/BLINKIT/Quick Commerce,367.88,,84690.98
30/11/2025,UPI/PHONEPE/Send Money,1535.52,,83155.46
01/12/2025,UPI/HDFC0001/Swiggy Order,213.37,,82942.09
01/12/2025,UPI/PHONEPE/KFC Ahmedabad,334.95,,82607.14
01/12/2025,POS/DOMINOS PIZZA/MG Road,822.8,,81784.34
02/12/2025,LIC/PREMIUM/Policy,4500.0,,77284.34
02/12/2025,BAJAJ FINANCE/EMI/Loan,3200.0,,74084.34
03/12/2025,UPI/GPAY/Transfer,6185.9,,67898.44
03/12/2025,BESCOM/ELECTRICITY BILL/Account,2055.39,,65843.05
03/12/2025,UPI/BOOKMYSHOW/Movie Ticket,333.31,,65509.74
04/12/2025,AMAZON PRIME/SUBSCRIPTION,299.0,,65210.74
04/12/2025,UPI/BOOKMYSHOW/Movie Ticket,410.77,,64799.97
05/12/2025,UPI/FLIPKART/Payment,832.37,,63967.6
05/12/2025,UPI/BLINKIT/Quick Commerce,1030.5,,62937.1
06/12/2025,BESCOM/ELECTRICITY BILL/Account,1106.54,,61830.56
06/12/2025,SALARY/BRAINYBEAM TECH/NEFT,,29794.45,91625.01
07/12/2025,UPI/OLA/Cab Booking,142.92,,91482.09
07/12/2025,BESCOM/ELECTRICITY BILL/Account,2199.18,,89282.91
07/12/2025,POS/CAFE COFFEE DAY/CG Road,242.04,,89040.87
07/12/2025,UPI/PHONEPE/Send Money,940.59,,88100.28
07/12/2025,SALARY/BRAINYBEAM TECH/NEFT,,31344.11,119444.39
08/12/2025,BESCOM/ELECTRICITY BILL/Account,1066.1,,118378.29
08/12/2025,BAJAJ FINANCE/EMI/Loan,3200.0,,115178.29
09/12/2025,UPI/PHONEPE/KFC Ahmedabad,319.51,,114858.78
09/12/2025,UPI/HDFC0001/Swiggy Order,643.1,,114215.68
09/12/2025,AIRTEL/POSTPAID BILL/Mobile,769.61,,113446.07
